ICD10CodeID,Code,ICD_Title
3936,J18.2,"Hypostatic pneumonia, unspecified"
3937,J18.8,"Other pneumonia, organism unspecified"
3938,J18.9,"Pneumonia, unspecified"
3939,J20,Acute bronchitis
3940,J20.0,Acute bronchitis due to Mycoplasma pneumoniae
3941,J20.1,Acute bronchitis due to Hemophilus influenzae
3942,J20.2,Acute bronchitis due to streptococcus
3943,J20.3,Acute bronchitis due to coxsackie virus
3944,J20.4,Acute bronchitis due to parainfluenza virus
3945,J20.5,Acute bronchitis due to respiratory syncytial virus
3946,J20.6,Acute bronchitis due to rhinovirus
3947,J20.7,Acute bronchitis due to echovirus
3948,J20.8,Acute bronchitis due to other specified organisms
3949,J20.9,"Acute bronchitis, unspecified"
3950,J21,Acute bronchiolitis
3951,J21.0,Acute bronchiolitis due to respiratory syncytial virus
3952,J21.1,Acute bronchiolitis due to human metapneumovirus
3953,J21.8,Acute bronchiolitis due to other specified organisms
3954,J21.9,"Acute bronchiolitis, unspecified"
3955,J22,Unspecified acute lower respiratory infection
3956,J30,Vasomotor and allergic rhinitis
3957,J30.0,Vasomotor rhinitis
3958,J30.1,Allergic rhinitis due to pollen
3959,J30.2,Other seasonal allergic rhinitis
3960,J30.3,Other allergic rhinitis
3961,J30.4,"Allergic rhinitis, unspecified"
3962,J31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
3963,J31.0,Chronic rhinitis
3964,J31.1,Chronic nasopharyngitis
3965,J31.2,Chronic pharyngitis
3966,J32,Chronic sinusitis
3967,J32.0,Chronic maxillary sinusitis
3968,J32.1,Chronic frontal sinusitis
3969,J32.2,Chronic ethmoidal sinusitis
3970,J32.3,Chronic sphenoidal sinusitis
3971,J32.4,Chronic pansinusitis
3972,J32.8,Other chronic sinusitis
3973,J32.9,"Chronic sinusitis, unspecified"
3974,J33,Nasal polyp
3975,J33.0,Polyp of nasal cavity
3976,J33.1,Polypoid sinus degeneration
3977,J33.8,Other polyp of sinus
3978,J33.9,"Nasal polyp, unspecified"
3979,J34,Other and unspecified disorders of nose and nasal sinuses
3980,J34.0,"Abscess, furuncle, and carbuncle of nose"
3981,J34.1,Cyst and mucocele of nose and nasal sinus
3982,J34.2,Deviated nasal septum
3983,J34.3,Hypertrophy of nasal turbinates
3984,J34.8,Other specified disorders of nose and nasal sinuses
3985,J35,Chronic diseases of tonsils and adenoids
3986,J35.0,Chronic tonsillitis
3987,J35.1,Hypertrophy of tonsils
3988,J35.2,Hypertrophy of adenoids
3989,J35.3,Hypertrophy of tonsils with hypertrophy of adenoids
3990,J35.8,Other chronic diseases of tonsils and adenoids
3991,J35.9,"Chronic disease of tonsils and adenoids, unspecified"
3992,J36,Peritonsillar abscess
3993,J37,Chronic laryngitis and laryngotracheitis
3994,J37.0,Chronic laryngitis
3995,J37.1,Chronic laryngotracheitis
3996,J38,"Diseases of vocal cords and larynx, not elsewhere classified"
3997,J38.0,Paralysis of vocal cords and larynx
3998,J38.1,Polyp of vocal cord and larynx
3999,J38.2,Nodules of vocal cords
4000,J38.3,Other diseases of vocal cords
4001,J38.4,Edema of larynx
4002,J38.5,Laryngeal spasm
4003,J38.6,Stenosis of larynx
4004,J38.7,Other diseases of larynx
4005,J39,Other diseases of upper respiratory tract
4006,J39.0,Retropharyngeal and parapharyngeal abscess
4007,J39.1,Other abscess of pharynx
4008,J39.2,Other diseases of pharynx
4009,J39.3,"Upper respiratory tract hypersensitivity reaction, site unspecified"
4010,J39.8,Other specified diseases of upper respiratory tract
4011,J39.9,"Disease of upper respiratory tract, unspecified"
4012,J40,"Bronchitis, not specified as acute or chronic"
4013,J41,Simple and mucopurulent chronic bronchitis
4014,J41.0,Simple chronic bronchitis
4015,J41.1,Mucopurulent chronic bronchitis
4016,J41.8,Mixed simple and mucopurulent chronic bronchitis
4017,J42,Unspecified chronic bronchitis
4018,J43,Emphysema
4019,J43.0,MacLeod's syndrome
4020,J43.1,Panlobular emphysema
4021,J43.2,Centrilobular emphysema
4022,J43.8,Other emphysema
4023,J43.9,"Emphysema, unspecified"
4024,J44,Other chronic obstructive pulmonary disease
4025,J44.0,Chronic obstructive pulmonary disease with acute lower respiratory infection
4026,J44.1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified"
4027,J44.8,Other specified chronic obstructive pulmonary disease
4028,J44.9,"Chronic obstructive pulmonary disease, unspecified"
4029,J45,Asthma
4030,J45.0,Predominantly allergic asthma
4031,J45.1,Nonallergic asthma
4032,J45.8,Mixed asthma
4033,J45.9,"Asthma, unspecified"
4034,J47,Bronchiectasis
4035,J60,Coalworker's pneumoconiosis
4036,J61,Pneumoconiosis due to asbestos and other mineral fibers
4037,J62,Pneumoconiosis due to dust containing silica
4038,J62.0,Pneumoconiosis due to talc dust
4039,J62.8,Pneumoconiosis due to other dust containing silica
4040,J63,Pneumoconiosis due to other inorganic dusts
4041,J63.0,Aluminosis (of lung)
4042,J63.1,Bauxite fibrosis (of lung)
4043,J63.2,Berylliosis
4044,J63.3,Graphite fibrosis (of lung)
4045,J63.4,Siderosis
4046,J63.5,Stannosis
4047,J63.8,Pneumoconiosis due to other specified inorganic dusts
4048,J64,Unspecified pneumoconiosis
4049,J65,Pneumoconiosis associated with tuberculosis
4050,J66,Airway disease due to specific organic dust
4051,J66.0,Byssinosis
4052,J66.1,Flax-dresser's disease
4053,J66.2,Cannabinosis
4054,J66.8,Airway disease due to other specific organic dusts
4055,J67,Hypersensitivity pneumonitis due to organic dust
4056,J67.0,Farmer's lung
4057,J67.1,Bagassosis
4058,J67.2,Bird fancier's lung
4059,J67.3,Suberosis
4060,J67.4,Maltworker's lung
4061,J67.5,Mushroom-worker's lung
4062,J67.6,Maple-bark-stripper's lung
4063,J67.7,Air-conditioner and humidifier lung
4064,J67.8,Hypersensitivity pneumonitis due to other organic dusts
4065,J67.9,Hypersensitivity pneumonitis due to unspecified organic dust
4066,J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors"
4067,J68.0,"Bronchitis and pneumonitis due to chemicals, gases, fumes, and vapors"
4068,J68.1,"Acute pulmonary edema due to chemicals, gases, fumes, and vapors"
4069,J68.2,"Upper respiratory inflammation due to chemicals, gases, fumes, and vapors, not elsewhere classified"
4070,J68.3,"Other acute and subacute respiratory conditions due to chemicals, gases, fumes, and vapors"
4071,J68.4,"Chronic respiratory conditions due to chemicals, gases, fumes, and vapors"
4072,J68.8,"Other respiratory conditions due to chemicals, gases, fumes, and vapors"
4073,J68.9,"Unspecified respiratory condition due to chemicals, gases, fumes, and vapors"
4074,J69,Pneumonitis due to solids and liquids
4075,J69.0,Pneumonitis due to food and vomit
4076,J69.1,Pneumonitis due to oils and essences
4077,J69.8,Pneumonitis due to other solids and liquids
4078,J70,Respiratory conditions due to other external agents
4079,J70.0,Acute pulmonary manifestations due to radiation
4080,J70.1,Chronic and other pulmonary manifestations due to radiation
4081,J70.2,Acute drug-induced interstitial lung disorders
4082,J70.3,Chronic drug-induced interstitial lung disorders
4083,J70.4,"Drug-induced interstitial lung disorder, unspecified"
4084,J70.8,Respiratory conditions due to other specified external agents
4085,J70.9,Respiratory conditions due to unspecified external agent
4086,J80,Acute respiratory distress syndrome
4087,J81,Pulmonary edema
4088,J82,"Pulmonary eosinophilia, not elsewhere classified"
4089,J84,Other interstitial pulmonary diseases
4090,J84.0,Alveolar and parietoalveolar conditions
4091,J84.1,Other interstitial pulmonary diseases with fibrosis
4092,J84.8,Other specified interstitial pulmonary diseases
4093,J84.9,"Interstitial pulmonary disease, unspecified"
4094,J85,Abscess of lung and mediastinum
4095,J85.0,Gangrene and necrosis of lung
4096,J85.1,Abscess of lung with pneumonia
4097,J85.2,Abscess of lung without pneumonia
4098,J85.3,Abscess of mediastinum
4099,J86,Pyothorax
4100,J86.0,Pyothorax with fistula
4101,J86.9,Pyothorax without fistula
4102,J90,"Pleural effusion, not elsewhere classified"
4103,J91,Pleural effusion in conditions classified elsewhere
4104,J92,Pleural plaque
4105,J92.0,Pleural plaque with presence of asbestos
4106,J92.9,Pleural plaque without asbestos
4107,J93,Pneumothorax and air leak
4108,J93.0,Spontaneous tension pneumothorax
4109,J93.1,Other spontaneous pneumothorax
4110,J93.8,Other pneumothorax
4111,J93.9,"Pneumothorax, unspecified"
4112,J94,Other pleural conditions
4113,J94.0,Chylous effusion
4114,J94.1,Fibrothorax
4115,J94.2,Hemothorax
4116,J94.8,Other specified pleural conditions
4117,J94.9,"Pleural condition, unspecified"
4118,J95,"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified"
4119,J95.0,Tracheostomy malfunction
4120,J95.1,Acute pulmonary insufficiency following thoracic surgery 
4121,J95.2,Acute pulmonary insufficiency following nonthoracic surgery 
4122,J95.3,Chronic pulmonary insufficiency following surgery 
4123,J95.4,Mendelson’s syndrome
4124,J95.5,Postprocedural subglottic stenosis
4125,J95.8,Other postprocedural respiratory disorders
4126,J95.9,"Postprocedural respiratory disorder, unspecified "
4127,J96,"Respiratory failure, not elsewhere classified"
4128,J96.0,Acute respiratory failure
4129,J96.1,Chronic respiratory failure
4130,J96.9,"Respiratory failure, unspecified"
4131,J98,Other respiratory disorders
4132,J98.0,"Diseases of bronchus, not elsewhere classified"
4133,J98.1,Pulmonary collapse
4134,J98.2,Interstitial emphysema
4135,J98.3,Compensatory emphysema
4136,J98.4,Other disorders of lung
4137,J98.5,"Diseases of mediastinum, not elsewhere classified"
4138,J98.6,Disorders of diaphragm
4139,J98.8,Other specified respiratory disorders
4140,J98.9,"Respiratory disorder, unspecified"
4141,J99,Respiratory disorders in diseases classified elsewhere
4142,K00,Disorders of tooth development and eruption
4143,K00.0,Anodontia
4144,K00.1,Supernumerary teeth
4145,K00.2,Abnormalities of size and form of teeth
4146,K00.3,Mottled teeth
4147,K00.4,Disturbances in tooth formation
4148,K00.5,"Hereditary disturbances in tooth structure, not elsewhere classified"
4149,K00.6,Disturbances in tooth eruption
4150,K00.7,Teething syndrome
4151,K00.8,Other disorders of tooth development
4152,K00.9,"Disorder of tooth development, unspecified"
4153,K01,Embedded and impacted teeth
4154,K01.0,Embedded teeth
4155,K01.1,Impacted teeth
4156,K02,Dental caries
4157,K02.0,Caries limited to enamel
4158,K02.1,Caries of dentin
4159,K02.2,Caries of cementum
4160,K02.3,Arrested dental caries
4161,K02.4,Odontoclasia
4162,K02.8,Other dental caries
4163,K02.9,"Dental caries, unspecified"
4164,K03,Other diseases of hard tissues of teeth
4165,K03.0,Excessive attrition of teeth
4166,K03.1,Abrasion of teeth
4167,K03.2,Erosion of teeth
4168,K03.3,Pathological resorption of teeth
4169,K03.4,Hypercementosis
4170,K03.5,Ankylosis of teeth
4171,K03.6,Deposits [accretions] on teeth
4172,K03.7,Posteruptive color changes of dental hard tissues
4173,K03.8,Other specified diseases of hard tissues of teeth
4174,K03.9,"Disease of hard tissues of teeth, unspecified"
4175,K04,Diseases of pulp and periapical tissues
4176,K04.0,Pulpitis
4177,K04.1,Necrosis of pulp
4178,K04.2,Pulp degeneration
4179,K04.3,Abnormal hard tissue formation in pulp
4180,K04.4,Acute apical periodontitis of pulpal origin
4181,K04.5,Chronic apical periodontitis
4182,K04.6,Periapical abscess with sinus
4183,K04.7,Periapical abscess without sinus
4184,K04.8,Radicular cyst
4185,K04.9,Other and unspecified diseases of pulp and periapical tissues
4186,K05,Gingivitis and periodontal diseases
4187,K05.0,Acute gingivitis
4188,K05.1,Chronic gingivitis
4189,K05.2,Acute periodontitis
4190,K05.3,Chronic periodontitis
4191,K05.4,Periodontosis
4192,K05.5,Other periodontal diseases
4193,K05.6,"Periodontal disease, unspecified"
4194,K06,Other disorders of gingiva and edentulous alveolar ridge
4195,K06.0,Gingival recession
4196,K06.1,Gingival enlargement
4197,K06.2,Gingival and edentulous alveolar ridge lesions associated with trauma
4198,K06.8,Other specified disorders of gingiva and edentulous alveolar ridge
4199,K06.9,"Disorder of gingiva and edentulous alveolar ridge, unspecified"
4200,K07.0,Major anomalies of jaw size
4201,K07.1,Anomalies of jaw-cranial base relationship
4202,K07.2,Anomalies of dental arch relationship
4203,K07.3,Anomalies of tooth position
4204,K07.4,"Malocclusion, unspecified"
4205,K07.5,Dentofacial functional abnormalities
4206,K07.6,Temporomandibular joint disorders
4207,K07.8,Other dentofacial anomalies
4208,K07.9,"Dentofacial anomaly, unspecified"
4209,K08,Other disorders of teeth and supporting structures
4210,K08.0,Exfoliation of teeth due to systemic causes
4211,K08.1,"Loss of teeth due to accident, extraction, or local periodontal disease"
4212,K08.2,Atrophy of edentulous alveolar ridge
4213,K08.3,Retained dental root
4214,K08.8,Other specified disorders of teeth and supporting structures
4215,K08.9,"Disorder of teeth and supporting structures, unspecified"
4216,K09,"Cysts of oral region, not elsewhere classified"
4217,K09.0,Developmental odontogenic cysts
4218,K09.1,Developmental (nonodontogenic) cysts of oral region
4219,K09.2,Other cysts of jaw
4220,K09.8,"Other cysts of oral region, not elsewhere classified"
4221,K09.9,"Cyst of oral region, unspecified"
4222,K10.0,Developmental disorders of jaws
4223,K10.1,"Giant cell granuloma, central"
4224,K10.2,Inflammatory conditions of jaws
4225,K10.3,Alveolitis of jaws
4226,K10.8,Other specified diseases of jaws
4227,K10.9,"Disease of jaws, unspecified"
4228,K11,Diseases of salivary glands
4229,K11.0,Atrophy of salivary gland
4230,K11.1,Hypertrophy of salivary gland
4231,K11.2,Sialoadenitis
4232,K11.3,Abscess of salivary gland
4233,K11.4,Fistula of salivary gland
4234,K11.5,Sialolithiasis
4235,K11.6,Mucocele of salivary gland
4236,K11.7,Disturbances of salivary secretion
4237,K11.8,Other diseases of salivary glands
4238,K11.9,"Disease of salivary gland, unspecified"
4239,K12,Stomatitis and related lesions
4240,K12.0,Recurrent oral aphthae
4241,K12.1,Other forms of stomatitis
4242,K12.2,Cellulitis and abscess of mouth
4243,K12.3,Oral mucositis (ulcerative)
4244,K13,Other diseases of lip and oral mucosa
4245,K13.0,Diseases of lips
4246,K13.1,Cheek and lip biting
4247,K13.2,"Leukoplakia and other disturbances of oral epithelium, including tongue"
4248,K13.3,Hairy leukoplakia
4249,K13.4,Granuloma and granuloma-like lesions of oral mucosa
4250,K13.5,Oral submucous fibrosis
4251,K13.6,Irritative hyperplasia of oral mucosa
4252,K13.7,Other and unspecified lesions of oral mucosa
4253,K14,Diseases of tongue
4254,K14.0,Glossitis
4255,K14.1,Geographic tongue
4256,K14.2,Median rhomboid glossitis
4257,K14.3,Hypertrophy of tongue papillae
4258,K14.4,Atrophy of tongue papillae
4259,K14.5,Plicated tongue
4260,K14.6,Glossodynia
4261,K14.8,Other diseases of tongue
4262,K14.9,"Disease of tongue, unspecified"
4263,K20,Esophagitis
4264,K21,Gastro-esophageal reflux disease
4265,K21.0,Gastroesophageal reflux disease with esophagitis
4266,K21.9,Gastroesophageal reflux disease without esophagitis
4267,K22,Other diseases of esophagus
4268,K22.0,Achalasia of cardia
4269,K22.1,Ulcer of esophagus
4270,K22.2,Esophageal obstruction
4271,K22.3,Perforation of esophagus
4272,K22.4,Dyskinesia of esophagus
4273,K22.5,"Diverticulum of esophagus, acquired"
4274,K22.6,Gastroesophageal laceration-hemorrhage syndrome
4275,K22.7,Barrett's esophagus
4276,K22.8,Other specified diseases of esophagus
4277,K22.9,"Disease of esophagus, unspecified"
4278,K23,Disorders of esophagus in diseases classified elsewhere
4279,K25,Gastric ulcer
4280,K25.0,"Gastric ulcer, acute with hemorrhage"
4281,K25.1,"Gastric ulcer, acute with perforation"
4282,K25.2,"Gastric ulcer, acute with both hemorrhage and perforation"
4283,K25.3,"Gastric ulcer, acute without hemorrhage or perforation"
4284,K25.4,"Gastric ulcer, chronic or unspecified with hemorrhage"
4285,K25.5,"Gastric ulcer, chronic or unspecified with perforation"
4286,K25.6,"Gastric ulcer, chronic or unspecified with both hemorrhage and perforation"
4287,K25.7,"Gastric ulcer, chronic without hemorrhage or perforation"
4288,K25.9,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
4289,K26,Duodenal ulcer
4290,K26.0,"Duodenal ulcer, acute with hemorrhage"
4291,K26.1,"Duodenal ulcer, acute with perforation"
4292,K26.2,"Duodenal ulcer, acute with both hemorrhage and perforation"
4293,K26.3,"Duodenal ulcer, acute without hemorrhage or perforation"
4294,K26.4,"Duodenal ulcer, chronic or unspecified with hemorrhage"
4295,K26.5,"Duodenal ulcer, chronic or unspecified with perforation"
4296,K26.6,"Duodenal ulcer, chronic or unspecified with both hemorrhage and perforation"
4297,K26.7,"Duodenal ulcer, chronic without hemorrhage or perforation"
4298,K26.9,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
4299,K27,"Peptic ulcer, site unspecified"
4300,K27.0,"Peptic ulcer, site unspecified, acute with hemorrhage"
4301,K27.1,"Peptic ulcer, site unspecified, acute with perforation"
4302,K27.2,"Peptic ulcer, site unspecified, acute with both hemorrhage and perforation"
4303,K27.3,"Peptic ulcer, site unspecified, acute without hemorrhage or perforation"
4304,K27.4,"Peptic ulcer, site unspecified, chronic or unspecified with hemorrhage"
4305,K27.5,"Peptic ulcer, site unspecified, chronic or unspecified with perforation"
4306,K27.6,"Peptic ulcer, site unspecified, chronic or unspecified with both hemorrhage and perforation"
4307,K27.7,"Peptic ulcer, site unspecified, chronic without hemorrhage or perforation"
4308,K27.9,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation"
4309,K28,Gastrojejunal ulcer
4310,K28.0,"Gastrojejunal ulcer, acute with hemorrhage"
4311,K28.1,"Gastrojejunal ulcer, acute with perforation"
4312,K28.2,"Gastrojejunal ulcer, acute with both hemorrhage and perforation"
4313,K28.3,"Gastrojejunal ulcer, acute without hemorrhage or perforation"
4314,K28.4,"Gastrojejunal ulcer, chronic or unspecified with hemorrhage"
4315,K28.5,"Gastrojejunal ulcer, chronic or unspecified with perforation"
4316,K28.6,"Gastrojejunal ulcer, chronic or unspecified with both hemorrhage and perforation"
4317,K28.7,"Gastrojejunal ulcer, chronic without hemorrhage or perforation"
4318,K28.9,"Gastrojejunal ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
4319,K29,Gastritis and duodenitis
4320,K29.0,Acute hemorrhagic gastritis
4321,K29.1,Other acute gastritis
4322,K29.2,Alcoholic gastritis
4323,K29.3,Chronic superficial gastritis
4324,K29.4,Chronic atrophic gastritis
4325,K29.5,"Chronic gastritis, unspecified"
4326,K29.6,Other gastritis
4327,K29.7,"Gastritis, unspecified"
4328,K29.8,Duodenitis
4329,K29.9,"Gastroduodenitis, unspecified"
4330,K30,Functional dyspepsia
4331,K31,Other diseases of stomach and duodenum
4332,K31.0,Acute dilatation of stomach
4333,K31.1,Adult hypertrophic pyloric stenosis
4334,K31.2,Hourglass stricture and stenosis of stomach
4335,K31.3,"Pylorospasm, not elsewhere classified"
4336,K31.4,Gastric diverticulum
4337,K31.5,Obstruction of duodenum
4338,K31.6,Fistula of stomach and duodenum
4339,K31.7,Polyp of stomach and duodenum
4340,K31.8,Other specified diseases of stomach and duodenum
4341,K31.9,"Disease of stomach and duodenum, unspecified"
4342,K35,Acute appendicitis
4343,K35.0,Acute appendicitis with generalized peritonitis
4344,K35.1,Acute appendicitis with peritoneal abscess
4345,K35.2,Acute appendicitis with generalized peritonitis
4346,K35.3,Acute appendicitis with localized peritonitis
4347,K35.8,"Acute appendicitis, other and unspecified"
4348,K35.9,"Acute appendicitis, unspecified"
4349,K36,Other appendicitis
4350,K37,Unspecified appendicitis
4351,K38,Other diseases of appendix
4352,K38.0,Hyperplasia of appendix
4353,K38.1,Appendicular concretions
4354,K38.2,Diverticulum of appendix
4355,K38.3,Fistula of appendix
4356,K38.8,Other specified diseases of appendix
4357,K38.9,"Disease of appendix, unspecified"
4358,K40,Inguinal hernia
4359,K40.0,"Bilateral inguinal hernia, with obstruction, without gangrene"
4360,K40.1,"Bilateral inguinal hernia, with gangrene"
4361,K40.2,"Bilateral inguinal hernia, without obstruction or gangrene"
4362,K40.3,"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene"
4363,K40.4,"Unilateral or unspecified inguinal hernia, with gangrene"
4364,K40.9,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene"
4365,K41,Femoral hernia
4366,K41.0,"Bilateral femoral hernia, with obstruction, without gangrene"
4367,K41.1,"Bilateral femoral hernia, with gangrene"
4368,K41.2,"Bilateral femoral hernia, without obstruction or gangrene"
4369,K41.3,"Unilateral or unspecified femoral hernia, with obstruction, without gangrene"
4370,K41.4,"Unilateral or unspecified femoral hernia, with gangrene"
4371,K41.9,"Unilateral or unspecified femoral hernia, without obstruction or gangrene"
4372,K42,Umbilical hernia
4373,K42.0,"Umbilical hernia with obstruction, without gangrene"
4374,K42.1,Umbilical hernia with gangrene
4375,K42.9,Umbilical hernia without obstruction or gangrene
4376,K43,Ventral hernia
4377,K43.0,"Ventral hernia with obstruction, without gangrene"
4378,K43.1,Ventral hernia with gangrene
4379,K43.9,Ventral hernia without obstruction or gangrene
4380,K44,Diaphragmatic hernia
4381,K44.0,"Diaphragmatic hernia with obstruction, without gangrene"
4382,K44.1,Diaphragmatic hernia with gangrene
4383,K44.9,Diaphragmatic hernia without obstruction or gangrene
4384,K45,Other abdominal hernia
4385,K45.0,"Other specified abdominal hernia with obstruction, without gangrene"
4386,K45.1,Other specified abdominal hernia with gangrene
4387,K45.8,Other specified abdominal hernia without obstruction or gangrene
4388,K46,Unspecified abdominal hernia
4389,K46.0,"Unspecified abdominal hernia with obstruction, without gangrene"
4390,K46.1,Unspecified abdominal hernia with gangrene
4391,K46.9,Unspecified abdominal hernia without obstruction or gangrene
4392,K50,Crohn's disease [regional enteritis]
4393,K50.0,Crohn's disease of small intestine
4394,K50.1,Crohn's disease of large intestine
4395,K50.8,Other Crohn's disease
4396,K50.9,"Crohn's disease, unspecified"
4397,K51,Ulcerative colitis
4398,K51.0,Ulcerative (chronic) enterocolitis
4399,K51.1,Ulcerative (chronic) ileocolitis
4400,K51.2,Ulcerative (chronic) proctitis
4401,K51.3,Ulcerative (chronic) rectosigmoiditis
4402,K51.4,Pseudopolyposis of colon
4403,K51.5,Mucosal proctocolitis
4404,K51.8,Other ulcerative colitis
4405,K51.9,"Ulcerative colitis, unspecified"
4406,K52,Other and unspecified noninfective gastroenteritis and colitis
4407,K52.0,Gastroenteritis and colitis due to radiation
4408,K52.1,Toxic gastroenteritis and colitis
4409,K52.2,Allergic and dietetic gastroenteritis and colitis
4410,K52.3,Indeterminate colitis
4411,K52.8,Other specified noninfective gastroenteritis and colitis
4412,K52.9,"Noninfective gastroenteritis and colitis, unspecified"
4413,K55,Vascular disorders of intestine
4414,K55.0,Acute vascular disorders of intestine
4415,K55.1,Chronic vascular disorders of intestine
4416,K55.2,Angiodysplasia of colon
4417,K55.8,Other vascular disorders of intestine
4418,K55.9,"Vascular disorder of intestine, unspecified"
4419,K56,Paralytic ileus and intestinal obstruction without hernia
4420,K56.0,Paralytic ileus
4421,K56.1,Intussusception
4422,K56.2,Volvulus
4423,K56.3,Gallstone ileus
4424,K56.4,Other impaction of intestine
4425,K56.5,Intestinal adhesions [bands] with obstruction
4426,K56.6,Other and unspecified intestinal obstruction
4427,K56.7,"Ileus, unspecified"
4428,K57,Diverticular disease of intestine
4429,K57.0,Diverticular disease of small intestine with perforation and abscess
4430,K57.1,Diverticular disease of small intestine without perforation or abscess
4431,K57.2,Diverticular disease of large intestine with perforation and abscess
4432,K57.3,Diverticular disease of large intestine without perforation or abscess
4433,K57.4,Diverticular disease of both small and large intestine with perforation and abscess
4434,K57.5,Diverticular disease of both small and large intestine without perforation or abscess
4435,K57.8,"Diverticular disease of intestine, part unspecified, with perforation and abscess"
4436,K57.9,"Diverticular disease of intestine, part unspecified, without perforation or abscess"
4437,K58,Irritable bowel syndrome
4438,K58.0,Irritable bowel syndrome with diarrhea
4439,K58.9,Irritable bowel syndrome without diarrhea
4440,K59,Other functional intestinal disorders
4441,K59.0,Constipation
4442,K59.1,Functional diarrhea
4443,K59.2,"Neurogenic bowel, not elsewhere classified"
4444,K59.3,"Megacolon, not elsewhere classified"
4445,K59.4,Anal spasm
4446,K59.8,Other specified functional intestinal disorders
4447,K59.9,"Functional intestinal disorder, unspecified"
4448,K60,Fissure and fistula of anal and rectal regions
4449,K60.0,Acute anal fissure
4450,K60.1,Chronic anal fissure
4451,K60.2,"Anal fissure, unspecified"
4452,K60.3,Anal fistula
4453,K60.4,Rectal fistula
4454,K60.5,Anorectal fistula
4455,K61,Abscess of anal and rectal regions
4456,K61.0,Anal abscess
4457,K61.1,Rectal abscess
4458,K61.2,Anorectal abscess
4459,K61.3,Ischiorectal abscess
4460,K61.4,Intrasphincteric abscess
4461,K62,Other diseases of anus and rectum
4462,K62.0,Anal polyp
4463,K62.1,Rectal polyp
4464,K62.2,Anal prolapse
4465,K62.3,Rectal prolapse
4466,K62.4,Stenosis of anus and rectum
4467,K62.5,Hemorrhage of anus and rectum
4468,K62.6,Ulcer of anus and rectum
4469,K62.7,Radiation proctitis
4470,K62.8,Other specified diseases of anus and rectum
4471,K62.9,"Disease of anus and rectum, unspecified"
4472,K63,Other diseases of intestine
4473,K63.0,Abscess of intestine
4474,K63.1,Perforation of intestine (nontraumatic)
4475,K63.2,Fistula of intestine
4476,K63.3,Ulcer of intestine
4477,K63.4,Enteroptosis
4478,K63.5,Polyp of colon
4479,K63.8,Other specified diseases of intestine
4480,K63.9,"Disease of intestine, unspecified"
4481,K64,Hemorrhoids and perianal venous thrombosis
4482,K65,Peritonitis
4483,K65.0,Acute peritonitis
4484,K65.8,Other peritonitis
4485,K65.9,"Peritonitis, unspecified"
4486,K66,Other disorders of peritoneum
4487,K66.0,Peritoneal adhesions
4488,K66.1,Hemoperitoneum
4489,K66.8,Other specified disorders of peritoneum
4490,K66.9,"Disorder of peritoneum, unspecified"
4491,K67,Disorders of peritoneum in infectious diseases classified elsewhere
4492,K68,Disorders of retroperitoneum
4493,K70,Alcoholic liver disease
4494,K70.0,Alcoholic fatty liver
4495,K70.1,Alcoholic hepatitis
4496,K70.2,Alcoholic fibrosis and sclerosis of liver
4497,K70.3,Alcoholic cirrhosis of liver
4498,K70.4,Alcoholic hepatic failure
4499,K70.9,"Alcoholic liver disease, unspecified"
4500,K71,Toxic liver disease
4501,K71.0,Toxic liver disease with cholestasis
4502,K71.1,Toxic liver disease with hepatic necrosis
4503,K71.2,Toxic liver disease with acute hepatitis
4504,K71.3,Toxic liver disease with chronic persistent hepatitis
4505,K71.4,Toxic liver disease with chronic lobular hepatitis
4506,K71.5,Toxic liver disease with chronic active hepatitis
4507,K71.6,"Toxic liver disease with hepatitis, not elsewhere classified"
4508,K71.7,Toxic liver disease with fibrosis and cirrhosis of liver
4509,K71.8,Toxic liver disease with other disorders of liver
4510,K71.9,"Toxic liver disease, unspecified"
4511,K72,"Hepatic failure, not elsewhere classified"
4512,K72.0,Acute and subacute hepatic failure
4513,K72.1,Chronic hepatic failure
4514,K72.9,"Hepatic failure, unspecified"
4515,K73,"Chronic hepatitis, not elsewhere classified"
4516,K73.0,"Chronic persistent hepatitis, not elsewhere classified"
4517,K73.1,"Chronic lobular hepatitis, not elsewhere classified"
4518,K73.2,"Chronic active hepatitis, not elsewhere classified"
4519,K73.8,"Other chronic hepatitis, not elsewhere classified"
4520,K73.9,"Chronic hepatitis, unspecified"
4521,K74,Fibrosis and cirrhosis of liver
4522,K74.0,Hepatic fibrosis
4523,K74.1,Hepatic sclerosis
4524,K74.2,Hepatic fibrosis with hepatic sclerosis
4525,K74.3,Primary biliary cirrhosis
4526,K74.4,Secondary biliary cirrhosis
4527,K74.5,"Biliary cirrhosis, unspecified"
4528,K74.6,Other and unspecified cirrhosis of liver
4529,K75,Other inflammatory liver diseases
